Year,Area,Street,Street 2
2011,Birmingham,Acocks Gr,NA
2011,Birmingham,Adderly St,NA
2011,Birmingham,Alcester Raod Mosley,NA
2011,Birmingham,Alcester Rd,NA
2011,Birmingham,Alcester Rd Moseley,NA
2011,Birmingham,Alcester Rd Moseley,NA
2011,Birmingham,Alfred St,NA
2011,Birmingham,All Service Club Mosley,NA
2011,Birmingham,Alum Rock Rd,NA
2011,Birmingham,Alum Rock Rd,NA
2011,Birmingham,Alum Rock Rd,NA
2011,Birmingham,Alum Rock Rd,NA
2011,Birmingham,Arcadian Centre,NA
2011,Birmingham,Arden Rd Saltley,NA
2011,Birmingham,Asda Chemsley Wood,NA
2011,Birmingham,Balsahll Heath Pk J/W Brighton Rd,NA
2011,Birmingham,Bamford Rd,NA
2011,Birmingham,Bamford Rd,NA
2011,Birmingham,Beechbrook Ave Sparkhill,NA
2011,Birmingham,Belchers Lane,NA
2011,Birmingham,Belchers Lane,NA
2011,Birmingham,Belchers Lane,NA
2011,Birmingham,Belchers Lane Bordesley Gr,NA
2011,Birmingham,Bell St,NA
2011,Birmingham,Berkley Rd East Haymills,NA
2011,Birmingham,Birmingham Airport,NA
2011,Birmingham,Birmingham International Railway Station,NA
2011,Birmingham,Bordesley Gr,NA
2011,Birmingham,Bordesley Gr Bordesley Gr,NA
2011,Birmingham,Bristol Rd,NA
2011,Birmingham,Bristol St,NA
2011,Birmingham,Broad St,NA
2011,Birmingham,Broad St,NA
2011,Birmingham,Broad St Birmingham,NA
2011,Birmingham,Buckland End Lane Shard End,NA
2011,Birmingham,Bulls Head Ph St Marys Row,NA
2011,Birmingham,Bushbury Rd Kitts Gr,NA
2011,Birmingham,Chartice Rd,NA
2011,Birmingham,Chestnut Rd,NA
2011,Birmingham,Church Rd Stechford,NA
2011,Birmingham,Church Rd Sheldon,NA
2011,Birmingham,Clifford Rd Dorridge,NA
2011,Birmingham,Clock Lane,NA
2011,Birmingham,Colonial Rd Bordesley Gr,NA
2011,Birmingham,Corporation St Birmingham,NA
2011,Birmingham,Corporation St,NA
2011,Birmingham,Coventry Rd Small Heath,NA
2011,Birmingham,Coventry Rd Small Heath Bham,NA
2011,Birmingham,Coventry Rd,NA
2011,Birmingham,Coventry Rd,NA
2011,Birmingham,Coventry Rd,NA
2011,Birmingham,Coventry Rd,NA
2011,Birmingham,Coventry Rd,NA
2011,Birmingham,Coventry Rd Small Heath,NA
2011,Birmingham,Coventry Rd Small Heath,NA
2011,Birmingham,Coventry Rd Small Heath,NA
2011,Birmingham,Cranes Pk Rd,NA
2011,Birmingham,Cranes Pk Rd Sheldon,NA
2011,Birmingham,Crossfield Rd,NA
2011,Birmingham,Crossfields Rd Kitts Gr,NA
2011,Birmingham,Cxhurch Rd Stechford Bham,NA
2011,Birmingham,Digbeth High St,NA
2011,Birmingham,Edgbaston Rd,NA
2011,Birmingham,Edward Rd Moseley,NA
2011,Birmingham,Fighting Cox Ph,NA
2011,Birmingham,Foremans Rd Sparkhill,NA
2011,Birmingham,Front Office Kings Heath,NA
2011,Birmingham,Garretts Gr Rd Garretts Gr,NA
2011,Birmingham,Giles Close,NA
2011,Birmingham,Giles Close Stechford,NA
2011,Birmingham,Glazedale Rd,NA
2011,Birmingham,Gospel Farm Rd,NA
2011,Birmingham,Gospel Farm Rd,NA
2011,Birmingham,Gospel Lane,NA
2011,Birmingham,Gospel Lane,NA
2011,Birmingham,Gospel Lane,NA
2011,Birmingham,Gospel Lane Acocks Gr,NA
2011,Birmingham,Grace Church Sutton Coldfield,NA
2011,Birmingham,Great Hampton St,NA
2011,Birmingham,Gr Lane,NA
2011,Birmingham,Greswell Lane Shard End,NA
2011,Birmingham,Harlequin Dr Mosley,NA
2011,Birmingham,Haslucks Gr Rd,NA
2011,Birmingham,Hazeldean Rd,NA
2011,Birmingham,Heartlands Hosp,NA
2011,Birmingham,Heartlands Hosp,NA
2011,Birmingham,Heartlands Hosp A E,NA
2011,Birmingham,Heartlands Hosp A E,NA
2011,Birmingham,Heartlands Hosp A E,NA
2011,Birmingham,Hepben Grove,NA
2011,Birmingham,Herrick Rd,NA
2011,Birmingham,Herrick Rd Washwood Heath,NA
2011,Birmingham,Herrick Rd Washwood Heath,NA
2011,Birmingham,High St Solihull,NA
2011,Birmingham,High St Kings Heath,NA
2011,Birmingham,High St Kings Heath,NA
2011,Birmingham,High St Kings Heath,NA
2011,Birmingham,Hob Moor Rd At Starbank Rd,NA
